,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport
18,327,2012-02-19,2012,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,2,2,POINT (652674.36286374 239512.15057812067),jármű-jármű
19,334,2012-02-19,2012,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,Vajda Pďż˝ter,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tilos jelzésen való áthaladás,47.4755861111111,19.0986305555556,0,0,1,2,POINT (653858.0805668101 236849.8378957737),gyalogos
20,338,2012-02-21,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4927416666667,19.0710083333333,0,0,1,1,POINT (651775.5136283527 238756.1405311049),gyalogos
21,350,2012-02-22,2012,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4755861111111,19.0986305555556,0,0,1,2,POINT (653858.0805668101 236849.8378957737),jármű-jármű
22,359,2012-02-23,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4961944444444,19.0709138888889,0,0,1,2,POINT (651768.287500613 239140.00200394806),gyalogos
23,360,2012-02-24,2012,Budapest VIII. kerďż˝let,ďż˝llďż˝i,Futďż˝,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.48,19.0865805555556,0,0,1,2,POINT (652949.5756276142 237340.0392279295),jármű-jármű
24,376,2012-02-26,2012,Budapest VIII. kerďż˝let,Teleki Lďż˝szlďż˝,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,egyéb,47.4935555555556,19.0824138888889,0,0,1,1,POINT (652634.8876763324 238846.93416104763),jármű-jármű
25,377,2012-02-27,2012,Budapest VIII. kerďż˝let,Karďż˝csony Sďż˝ndor,Magdolna,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4908888888889,19.084525,0,0,1,2,POINT (652794.0946564808 238550.5379874023),jármű-jármű
26,378,2012-02-27,2012,Budapest VIII. kerďż˝let,Karďż˝csony Sďż˝ndor,Kďż˝lvďż˝ria,súlyos sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4892527777778,19.086375,0,1,0,2,POINT (652933.58573788 238368.70889307404),jármű-jármű
27,379,2012-02-27,2012,Budapest VIII. kerďż˝let,Prďż˝ter,,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4867555555556,19.0766,0,1,0,2,POINT (652197.0865833953 238090.76988419148),gyalogos
