,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport 
236,4010,2013-05-05,2013,Budapest VIII. kerďż˝let,Dankďż˝,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4907666666667,19.0824333333333,0,1,0,2,POINT (652636.4871067089 238536.87953090633),gyalogos
237,4025,2013-05-07,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4800083333333,19.0865722222222,0,1,0,2,POINT (652948.9471061957 237340.96537936313),jármű-jármű
238,4065,2013-05-10,2013,Budapest VIII. kerďż˝let,Hungďż˝ria,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4990555555556,19.1082472222222,0,1,0,2,POINT (654580.9428194178 239459.56270107633),gyalogos
239,4163,2013-05-19,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4927416666667,19.0710083333333,0,1,0,2,POINT (651775.5136283527 238756.1405311049),gyalogos
240,4170,2013-05-21,2013,Budapest VIII. kerďż˝let,Kďż˝ris,,könnyű sérüléses,"Egyéb, várakozó járműnek ütközés",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4872166666667,19.0905166666667,0,0,1,2,POINT (653245.8039943926 238142.50330471483),gyalogos
241,4177,2013-05-21,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,Pďż˝l,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4877777777778,19.070275,0,1,1,2,POINT (651720.4098640294 238204.26388250236),jármű-jármű
242,4200,2013-05-22,2013,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4911972222222,19.1087805555556,0,0,1,2,POINT (654621.7978535538 238585.9412290284),gyalogos
243,4215,2013-05-23,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,egyéb,megfelelő oldaltávolság hiánya,47.4946027777778,19.0613694444444,0,0,1,2,POINT (651049.1855622745 238962.88637354583),jármű-jármű
244,4229,2013-05-24,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4973805555556,19.0715222222222,0,2,0,2,POINT (651814.083965389 239271.88159317683),gyalogos
245,4230,2013-05-24,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,ütközés JOBBRÓL BALRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4780722222222,19.0920944444444,0,0,1,2,POINT (653365.2686194194 237125.93568116694),jármű-jármű
246,4232,2013-05-25,2013,Budapest VIII. kerďż˝let,Tolnai Lajos,Bďż˝rkocsis,könnyű sérüléses,Keresztirányból érkező járművek ütközése kettőnél több résztvevővel,elsőbbség meg nem adása,a jobbról érkező járműnek,47.4948055555556,19.0740527777778,0,0,2,2,POINT (652004.8389636528 238985.66419641257),jármű-jármű
247,4248,2013-05-28,2013,Budapest VIII. kerďż˝let,Diďż˝szegi Sďż˝muel,Dugonics,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,45.0371444444444,10.7874805555556,0,0,1,2,POINT (0.23896893626079 144.0263402867131),gyalogos
248,4257,2013-05-29,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,Berzsenyi,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
249,4355,2013-06-08,2013,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Utasbalesetek,egyéb,"járművezető figyelmének elvonása, járművezető zavarása",47.4895555555556,19.089725,0,0,1,1,POINT (653186.0084795578 238402.4977345277),utasbaleset
250,4359,2013-06-08,2013,Budapest VIII. kerďż˝let,Orczy,,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4840277777778,19.0929777777778,0,1,0,2,POINT (653431.4704361794 237788.08107485867),gyalogos
251,4365,2013-06-09,2013,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4865,19.1076583333333,0,0,2,2,POINT (654537.6302594614 238063.6626924619),jármű-jármű
252,4395,2013-06-12,2013,Budapest VIII. kerďż˝let,Baross,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",sebesség nem megfelelő alkalmazása,egyéb,47.4996305555556,19.0829194444444,0,1,0,2,POINT (652672.6841473966 239522.34092304917),gyalogos
253,4414,2013-06-13,2013,Budapest VIII. kerďż˝let,Fiumei,Dologhďż˝z,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tilos jelzésen való áthaladás,47.4956861111111,19.0842722222222,0,1,0,2,POINT (652774.8035124071 239083.86153435794),gyalogos
254,4426,2013-06-14,2013,Budapest VIII. kerďż˝let,II. Jďż˝nos Pďż˝l pďż˝pa,Dologhďż˝z,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4958333333333,19.080525,0,0,1,2,POINT (652492.4578161743 239100.1068355465),jármű-jármű
255,4428,2013-06-14,2013,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, nem útkereszteződésben (telek, parkoló, garage stb.)",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4999583333333,19.0840111111111,0,0,1,2,POINT (652754.9144510168 239558.8184718981),jármű-jármű
256,4431,2013-06-14,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,Utasbalesetek,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4969,19.0699055555556,0,0,1,1,POINT (651692.2927220535 239218.4211599116),utasbaleset
257,4463,2013-06-17,2013,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4894333333333,19.0776638888889,0,0,1,2,POINT (652277.1493114687 238388.50130820047),gyalogos
258,4477,2013-06-18,2013,Budapest VIII. kerďż˝let,Kerepesi,Festetics Gyďż˝rgy,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.49953888888889,19.0829416666667,0,0,1,1,POINT (652674.36286374 239512.15057812067),gyalogos
259,4485,2013-06-19,2013,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4882222222222,19.1005805555556,0,1,0,1,POINT (654004.1267103843 238254.75176373357),gyalogos
260,4491,2013-06-19,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,súlyos sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,egyéb,47.4814194444444,19.08255,0,1,0,1,POINT (652645.7300060648 237497.70586195594),egy jármű
261,4502,2013-06-20,2013,Budapest VIII. kerďż˝let,Fiumei,,súlyos sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4916944444444,19.0887472222222,0,1,0,3,POINT (653112.2058891095 238640.25068174812),jármű-jármű
262,4520,2013-06-21,2013,Budapest VIII. kerďż˝let,Mďż˝zeum,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.4938527777778,19.06035,0,0,1,2,POINT (650972.3852647126 238879.49285177927),gyalogos
263,4521,2013-06-21,2013,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4996111111111,19.0949694444444,0,0,1,2,POINT (653580.53965669 239520.64806281836),jármű-jármű
264,4537,2013-06-23,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,45.0371444444444,10.7874805555556,0,0,1,2,POINT (0.23896893626079 144.0263402867131),gyalogos
265,4554,2013-06-24,2013,Budapest VIII. kerďż˝let,Bďż˝rkocsis,Vďż˝g,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4939444444444,19.0733027777778,0,1,0,2,POINT (651948.3586466544 238889.91178928112),jármű-jármű
266,4559,2013-06-25,2013,Budapest VIII. kerďż˝let,Mďż˝zeum,,súlyos sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tiltott helyen való áthaladás,47.4931166666667,19.06075,0,1,0,2,POINT (651002.5375408735 238797.66013516102),gyalogos
267,4589,2013-06-27,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4818555555556,19.0812666666667,0,0,1,2,POINT (652548.9893764182 237546.14921067463),jármű-jármű
268,4593,2013-06-28,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,Rďż˝kďż˝czi,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4927416666667,19.0710083333333,0,1,1,2,POINT (651775.5136283527 238756.1405311049),gyalogos
269,4662,2013-07-04,2013,Budapest VIII. kerďż˝let,Baross,Jďż˝zsef,súlyos sérüléses,"Keresztirányból érkező, azonos irányba továbbhaladó  járművek ütközése, az egyik jármű JOBBRA  kanyarodik",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4894444444444,19.0703888888889,0,1,1,2,POINT (651728.9405339678 238389.55808813934),jármű-jármű
270,4667,2013-07-04,2013,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4802027777778,19.0920055555556,0,0,2,3,POINT (653358.4373392597 237362.7960080588),jármű-jármű
271,4690,2013-07-06,2013,Budapest VIII. kerďż˝let,Lujza,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4893277777778,19.0876111111111,0,1,0,2,POINT (653026.7291747383 238377.09280860313),gyalogos
272,4735,2013-07-11,2013,Budapest VIII. kerďż˝let,Mďż˝zeum,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4918833333333,19.0614083333333,0,0,1,2,POINT (651052.1653840482 238660.55197177068),gyalogos
273,4747,2013-07-12,2013,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4996111111111,19.0931638888889,0,0,1,2,POINT (653444.5079732881 239520.56889067998),jármű-jármű
274,4772,2013-07-15,2013,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,Utasbalesetek,egyéb,"figyelmetlen, gondatlan vezetés",47.4882222222222,19.1005722222222,0,0,1,1,POINT (654003.4987368722 238254.75134594573),utasbaleset
275,4810,2013-07-18,2013,Budapest VIII. kerďż˝let,Fiumei,,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,tiltott helyen való áthaladás,47.4963916666667,19.0830416666667,0,1,0,2,POINT (652682.0512229472 239162.26028190478),gyalogos
276,4830,2013-07-19,2013,Budapest VIII. kerďż˝let,Fiumei,Nďż˝pszďż˝nhďż˝z,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4956861111111,19.0842722222222,0,0,1,2,POINT (652774.8035124071 239083.86153435794),jármű-jármű
277,4867,2013-07-24,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4923888888889,19.0716638888889,0,0,1,1,POINT (651824.9215902839 238716.9347699324),gyalogos
278,4901,2013-07-27,2013,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,4,POINT (654619.9799032396 238500.39669250627),jármű-jármű
279,4915,2013-07-29,2013,Budapest VIII. kerďż˝let,Futďż˝,,könnyű sérüléses,"Egyéb, várakozó járműnek ütközés",egyéb,egyéb,47.4848333333333,19.0744694444444,0,0,1,2,POINT (652036.6010129149 237877.0114505802),gyalogos
280,4921,2013-07-30,2013,Budapest VIII. kerďż˝let,Szerdahelyi,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4919666666667,19.0813583333333,0,0,1,1,POINT (652555.4264501624 238670.25520369553),gyalogos
281,4927,2013-07-31,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4899916666667,19.0708055555556,0,1,0,2,POINT (651760.3211888896 238450.4044324976),gyalogos
282,4929,2013-07-31,2013,Budapest VIII. kerďż˝let,Bďż˝rkocsis,Aurďż˝ra,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4935805555556,19.0710472222222,0,0,1,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű
283,4932,2013-07-31,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4800083333333,19.0865722222222,0,0,1,1,POINT (652948.9471061957 237340.96537936313),egy jármű
284,4968,2013-08-02,2013,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, a menetirány szerinti JOBB oldalon és szilárd tárgynak ütközés az útpályán kívül (fa, oszlop, támfal stb.)",sebesség nem megfelelő alkalmazása,egyéb,47.48825,19.1001388888889,0,0,1,1,POINT (653970.842077125 238257.8179090011),egy jármű
285,4988,2013-08-04,2013,Budapest VIII. kerďż˝let,Kďż˝nyves Kďż˝lmďż˝n,,súlyos sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,egyéb,47.48515,19.1064055555556,0,1,0,1,POINT (654443.3328923222 237913.50586528215),egy jármű
286,5005,2013-08-06,2013,Budapest VIII. kerďż˝let,Fiumei,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4979444444444,19.081725,0,1,0,2,POINT (652582.7734829903 239334.8479886695),gyalogos
287,5006,2013-08-06,2013,Budapest VIII. kerďż˝let,Mďż˝ria,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4916944444444,19.0689138888889,0,0,1,1,POINT (651617.7266812257 238639.6722106546),gyalogos
288,5066,2013-08-11,2013,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4995361111111,19.0832972222222,0,0,1,2,POINT (652701.1508170594 239511.85359625908),gyalogos
289,5074,2013-08-12,2013,Budapest VIII. kerďż˝let,Blaha Lujza,,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,egyéb,47.4962138888889,19.0686833333333,0,0,1,2,POINT (651600.2246322072 239142.11811586545),jármű-jármű
290,5075,2013-08-12,2013,Budapest VIII. kerďż˝let,Kerepesi,Asztalos Sďż˝ndor,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.49953888888889,19.0829416666667,0,0,1,2,POINT (652674.36286374 239512.15057812067),jármű-jármű
291,5079,2013-08-12,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,ďż˝llďż˝i,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",45.0371444444444,10.7874805555556,0,0,1,3,POINT (0.23896893626079 144.0263402867131),jármű-jármű
292,5134,2013-08-16,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4927416666667,19.0710083333333,0,0,1,2,POINT (651775.5136283527 238756.1405311049),gyalogos
293,5153,2013-08-20,2013,Budapest VIII. kerďż˝let,Baross,Kďż˝lvďż˝ria,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű
294,5157,2013-08-21,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,,súlyos sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4917138888889,19.0710972222222,0,1,0,1,POINT (651782.244364493 238641.87905450456),egy jármű
295,5190,2013-08-25,2013,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű
296,5224,2013-08-28,2013,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,ütközés tolató járművel,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4896583333333,19.0730361111111,0,0,1,2,POINT (651928.4147772754 238413.39625701198),jármű-jármű
297,5230,2013-08-28,2013,Budapest VIII. kerďż˝let,Baross,,súlyos sérüléses,Utasbalesetek,egyéb,kapaszkodás elmulasztása,47.4890666666667,19.0658333333333,0,1,0,1,POINT (651385.6654759324 238347.47280776585),utasbaleset
298,5234,2013-08-28,2013,Budapest VIII. kerďż˝let,Blaha Lujza,,súlyos sérüléses,Egyéb szembe haladó járművek ütközése,"irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4962444444444,19.0704333333333,0,1,1,2,POINT (651732.0782501437 239145.55053422853),jármű-jármű
299,5264,2013-08-31,2013,Budapest VIII. kerďż˝let,Szerdahelyi,Karďż˝csony Sďż˝ndor,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4926111111111,19.0831916666667,0,0,1,2,POINT (652693.5391448799 238741.96100234316),jármű-jármű
300,5267,2013-09-01,2013,Budapest VIII. kerďż˝let,Kďż˝lvďż˝ria,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4893805555556,19.0869555555556,0,0,1,1,POINT (652977.3267369851 238382.93591971722),gyalogos
301,5322,2013-09-05,2013,Budapest VIII. kerďż˝let,Elnďż˝k,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4795055555556,19.0971277777778,0,0,1,1,POINT (653744.538321161 237285.50962444273),egy jármű
302,5366,2013-09-11,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,Szigony,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4827,19.0788166666667,0,0,3,1,POINT (652364.3066288221 237639.9558955647),gyalogos
303,5385,2013-09-13,2013,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4927416666667,19.0710083333333,0,0,1,2,POINT (651775.5136283527 238756.1405311049),gyalogos
304,5417,2013-09-17,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,Bacsďż˝ Bďż˝la,súlyos sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4929694444444,19.0711222222222,0,1,0,2,POINT (651784.0878979857 238781.46624520008),jármű-jármű
305,5422,2013-09-17,2013,Budapest VIII. kerďż˝let,Dďż˝zsa Gyďż˝rgy,,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, a menetirány szerinti JOBB oldalon és szilárd tárgynak ütközés az útpályán kívül (fa, oszlop, támfal stb.)",egyéb,háziállatok az úttesten,45.0371444444444,10.7874805555556,0,0,1,2,POINT (0.23896893626079 144.0263402867131),egy jármű
306,5428,2013-09-18,2013,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,egyéb,47.4897694444444,19.1087305555556,0,0,1,1,POINT (654618.1523910619 238427.20496334793),jármű-jármű
307,5497,2013-09-24,2013,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4886305555556,19.0969833333333,0,0,1,1,POINT (653733.0233600803 238299.97412559035),gyalogos
308,5543,2013-09-28,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4948555555556,19.0623916666667,0,0,1,2,POINT (651126.2027508774 238991.00212395794),gyalogos
309,5595,2013-10-03,2013,Budapest VIII. kerďż˝let,Orczy,ďż˝llďż˝i,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.47948611111111,19.0903305555556,0,0,1,2,POINT (653232.2381113856 237283.05193695772),jármű-jármű
310,5597,2013-10-03,2013,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,ütközés BALRÓL JOBBRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4780722222222,19.0920944444444,0,0,1,2,POINT (653365.2686194194 237125.93568116694),jármű-jármű
311,5598,2013-10-03,2013,Budapest VIII. kerďż˝let,Orczy,,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4862194444444,19.0926388888889,0,0,1,2,POINT (653405.7934616095 238031.72509356803),jármű-jármű
312,5601,2013-10-03,2013,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,ütközés JOBBRÓL elinduló járművel,"irányváltoztatási, haladási, bekanyarodási hiba",kerékpáros nem adott elsőbbséget,47.4929694444444,19.0711222222222,0,0,1,2,POINT (651784.0878979857 238781.46624520008),jármű-jármű
313,5613,2013-10-04,2013,Budapest VIII. kerďż˝let,Baross,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4891638888889,19.086425,0,1,0,1,POINT (652937.3582914117 238358.82848528674),gyalogos
314,5640,2013-10-07,2013,Budapest VIII. kerďż˝let,Dologhďż˝z,Kun,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4964416666667,19.0832166666667,0,0,1,2,POINT (652695.2341710503 239167.8248771435),jármű-jármű
315,5696,2013-10-12,2013,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4995222222222,19.0918444444444,0,0,2,2,POINT (653345.1056741044 239510.63076190266),jármű-jármű
316,5756,2013-10-18,2013,Budapest VIII. kerďż˝let,Kďż˝lvďż˝ria,Kďż˝ris,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4876611111111,19.0862888888889,0,0,1,2,POINT (652927.182183986 238191.752095185),jármű-jármű
