Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2014-01-11,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4935805555556,19.0710472222222,0,0,1,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű, József körút
2014-01-15,2014,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba","a balra kanyarodó jármű vezetője nem  győződött meg meg a balra kanyarodás előtt, hogy előzését más jármű megkezdte-e",47.47948611111111,19.0903305555556,0,0,1,2,POINT (653232.2381113856 237283.05193695772),jármű-jármű,Nagyvárad tér M  Orczy út
2014-01-16,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,zavaró magatartás az úttesten való áthaladás közben,47.4897777777778,19.0872472222222,0,0,1,2,POINT (652999.2834821264 238427.1079774013),gyalogos,"['27-29', ' Lujza utca']"
2014-01-20,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4786833333333,19.1008916666667,0,0,1,3,POINT (654028.2808789219 237194.2823026672),gyalogos,Hunguest Hotel Platánus  Könyves Kálmán körút
2014-01-21,2014,Budapest VIII. kerület,könnyű sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4899277777778,19.0836805555556,0,0,1,2,POINT (652730.5111931971 238443.65740371007),gyalogos,[' Dankó utca']
2014-01-22,2014,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.49221666666669,19.0788222222222,0,0,1,1,POINT (652364.315905054 238697.97195283094),gyalogos,"['SZEMIR GYROS', ' 28', ' Nagy Fuvaros utca', ' Józsefváros']"
2014-01-24,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.","irányváltoztatási, haladási, bekanyarodási hiba","a balra kanyarodó jármű vezetője nem  győződött meg meg a balra kanyarodás előtt, hogy előzését más jármű megkezdte-e",47.4892222222222,19.0863888888889,0,0,1,2,POINT (652934.6339835505 238365.31238233246),jármű-jármű,[' Karácsony Sándor utca']
2014-01-31,2014,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4754722222222,19.0988027777778,0,0,1,2,POINT (653871.0699182204 236837.1846640713),jármű-jármű,"['Nemzeti Dohánybolt', ' Népliget aluljáró', ' Szent László Kórház']"
2014-02-07,2014,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4933138888889,19.0826138888889,0,0,2,1,POINT (652649.9692253224 238820.07335610286),gyalogos,"['Teleki téri piac', ' Teleki László tér']"
2014-02-07,2014,Budapest VIII. kerület,könnyű sérüléses,Szilárd tárgynak ütközés az útpályán,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4786305555556,19.0906972222222,0,0,1,1,POINT (653259.9247629271 237187.95056224745),egy jármű,"['Nagyvárad tér M', ' Üllői út']"
2014-02-12,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, azonos irányba továbbhaladó  járművek ütközése, az egyik jármű JOBBRA  kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4891388888889,19.091525,0,0,1,2,POINT (653321.6728080106 238356.24774695345),jármű-jármű,"[' Orczy tér', ' Orczy Fórum Városközpont']"
2014-02-14,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4883055555556,19.0999972222222,0,0,2,2,POINT (653960.1624696347 238263.98726815602),jármű-jármű,27-es kisáruház  25  Kőbányai út
2014-02-15,2014,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba","a balra kanyarodó jármű vezetője nem  győződött meg meg a balra kanyarodás előtt, hogy előzését más jármű megkezdte-e",47.4896944444444,19.0730805555556,0,0,1,2,POINT (651931.7626205096 238417.41196319892),jármű-jármű,"[' Rigó utca', ' Józsefváros']"
2014-02-23,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, várakozó járműnek ütközés",egyéb,rosszullét,47.4941555555556,19.0772916666667,0,0,1,1,POINT (652248.9075914808 238913.48487089644),gyalogos,"['II. János Pál pápa tér M', ' Nagy Fuvaros utca', ' Józsefváros']"
2014-02-26,2014,Budapest VIII. kerület,könnyű sérüléses,ütközés JOBBRÓL BALRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4868055555556,19.107525,0,0,1,3,POINT (654527.5567367255 238097.62524500507),jármű-jármű,['Könyves Kálmán körút']
2014-02-28,2014,Budapest VIII. kerület,súlyos sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4903055555556,19.0906888888889,0,1,0,2,POINT (653258.5973340805 238485.91776078573),jármű-jármű,"['Sorsok Háza - Európai Oktatási Központ', ' 24', ' Fiumei út']"
2014-02-28,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba","a balra kanyarodó jármű vezetője nem  győződött meg meg a balra kanyarodás előtt, hogy előzését más jármű megkezdte-e",47.4938527777778,19.06035,0,0,1,2,POINT (650972.3852647126 238879.49285177927),gyalogos,Múzeum körút
2014-03-10,2014,Budapest VIII. kerület,súlyos sérüléses,Utasbalesetek,gyalogosok hibája,tilos jelzésen való áthaladás,47.4904277777778,19.1087555555556,0,1,0,2,POINT (654619.9799032396 238500.39669250627),gyalogos,Hungária körút
2014-03-11,2014,Budapest VIII. kerület,súlyos sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4995555555556,19.0871083333333,0,1,0,2,POINT (652988.2816670722 239514.14989101602),jármű-jármű,['Kerepesi út']
2014-03-13,2014,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4995555555556,19.0825805555556,0,0,1,2,POINT (652647.1556818021 239513.99160288932),gyalogos,"['BKK-automata', ' Baross téri aluljáró']"
2014-03-16,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb szembe haladó, kanyarodó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4899472222222,19.0618972222222,0,0,1,2,POINT (651089.040639674 238445.3106626817),jármű-jármű,"['Kálvin Tower', ' 1-3', ' Baross utca']"
2014-03-17,2014,Budapest VIII. kerület,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4969444444444,19.0704694444444,0,1,0,2,POINT (651734.7772595033 239223.37403330725),gyalogos,"['Citychange', ' Blaha Lujza téri aluljáró']"
2014-03-18,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű, Baross utca
2014-03-19,2014,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen, egy másik (álló) jármű mellett elhaladó járművel",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4962555555556,19.0686361111111,0,0,1,2,POINT (651596.6654629785 239146.74950705565),gyalogos,Corvin Áruház  1-2  Blaha Lujza tér
2014-03-21,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4917222222222,19.0886083333333,0,0,1,4,POINT (653101.7387673141 238643.33351158776),jármű-jármű,['Fiumei út']
2014-03-21,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4895,19.0708305555556,0,0,2,2,POINT (651762.2206096551 238395.7438653033),jármű-jármű,"['Spar Market', ' 50', ' József körút', ' Józsefváros']"
2014-03-23,2014,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.49718888888889,19.0706583333333,0,1,0,2,POINT (651749.0013072316 239250.55423440936),gyalogos,Citychange  Blaha Lujza téri aluljáró
2014-03-31,2014,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4892027777778,19.080275,0,0,1,2,POINT (652473.9202698296 238362.94577986078),gyalogos,['Nemzeti Dohánybolt']
2014-04-07,2014,Budapest VIII. kerület,könnyű sérüléses,Utasbalesetek,sebesség nem megfelelő alkalmazása,a jármű és a rakomány sajátosságaihoz,47.4946722222222,19.0774666666667,0,0,1,1,POINT (652262.0723289788 238970.9302849691),utasbaleset,II. János Pál pápa tér M  Népszínház utca
2014-04-09,2014,Budapest VIII. kerület,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4809777777778,19.0933972222222,0,1,0,1,POINT (653463.2753879168 237449.01571327724),gyalogos,Elnök utca
2014-04-10,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4994722222222,19.0847972222222,0,0,1,2,POINT (652814.1652132693 239504.8020082953),jármű-jármű,[' Kerepesi út']
2014-04-11,2014,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4942972222222,19.0707916666667,0,1,0,3,POINT (651759.1385548743 238929.07513529796),gyalogos,[' József körút']
2014-04-12,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4924055555556,19.0727416666667,0,0,1,1,POINT (651906.1325510503 238718.81223797164),jármű-jármű,"[' Rákóczi tér', ' Józsefváros']"
2014-04-14,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",villamosnak elsőbbség meg nem adása,47.4929305555556,19.0609166666667,0,0,1,2,POINT (651015.0991198083 238776.97115860294),gyalogos,"['Eötvös Loránd Tudományegyetem Bölcsészettudományi Kar', ' 4-8', ' Múzeum körút', ' Pest']"
2014-04-14,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4990138888889,19.1082361111111,0,0,1,2,POINT (654580.1092285627 239454.92975421314),jármű-jármű,"['Hungi Virág', ' 5-7', ' Szörény utca']"
2014-04-18,2014,Budapest VIII. kerület,könnyű sérüléses,ütközés BALRÓL JOBBRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4966944444444,19.0694694444444,0,0,1,2,POINT (651659.440260699 239195.5595751389),jármű-jármű,"['miniszobor 7.', ' Blaha Lujza tér']"
2014-04-18,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4889722222222,19.0801638888889,0,0,1,1,POINT (652465.557802254 238337.31035322417),egy jármű,"['Szigony Gyógyszertár', ' 2', ' Szigony utca']"
2014-04-19,2014,Budapest VIII. kerület,súlyos sérüléses,Egyéb szembe haladó járművek ütközése,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4892277777778,19.0911722222222,0,1,0,2,POINT (653295.0836686327 238366.1154300296),jármű-jármű,"['Baross Irodaház', ' Baross utca', ' Orczy Fórum Városközpont']"
2014-04-23,2014,Budapest VIII. kerület,súlyos sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4893888888889,19.0781444444444,0,1,0,2,POINT (652313.3634972712 238383.57377972204),jármű-jármű, Baross utca
2014-04-25,2014,Budapest VIII. kerület,könnyű sérüléses,Azonos irányból érkező járművek ütközése az egyik jármű megfordul,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4994444444444,19.0798888888889,0,0,1,3,POINT (652444.3685527911 239501.5540449007),jármű-jármű,[' Fiumei út']
2014-04-26,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4994694444444,19.0918305555556,0,0,1,2,POINT (653344.0625219105 239504.7625912432),gyalogos,"['Arena Mall bevásárlóközpont', ' Kerepesi út']"
2014-04-26,2014,Budapest VIII. kerület,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4929305555556,19.0609166666667,0,0,1,2,POINT (651015.0991198083 238776.97115860294),jármű-jármű,Eötvös Loránd Tudományegyetem Bölcsészettudományi Kar  4-8  Múzeum körút  Pest
2014-04-29,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",egyéb,egyéb,47.4882333333333,19.0646611111111,0,0,1,2,POINT (651297.3509905661 238254.80805703235),gyalogos,[' Erkel utca']
2014-04-30,2014,Budapest VIII. kerület,súlyos sérüléses,ütközés JOBBRÓL történő előzés közben,egyéb,"figyelmetlen, gondatlan vezetés",47.4867527777778,19.0770222222222,0,1,0,2,POINT (652228.9049060821 238090.47255851026),jármű-jármű,[' Práter utca']
2014-05-05,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4935805555556,19.0710472222222,0,0,1,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű, József körút
2014-05-05,2014,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4959277777778,19.0696861111111,0,0,1,1,POINT (651675.787983156 239110.32954098296),gyalogos,['Somogyi Béla utca']
2014-05-05,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,egyéb,"figyelmetlen, gondatlan vezetés",47.4949888888889,19.0758222222222,0,0,1,1,POINT (652138.1550192777 239006.09129645122),egy jármű,"['Filléres Üzlet', ' Népszínház utca']"
2014-05-07,2014,Budapest VIII. kerület,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4768055555556,19.0994416666667,0,1,0,2,POINT (653919.1296732015 236985.44872034248),gyalogos,['Könyves Kálmán körút']
2014-05-09,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4891472222222,19.0915805555556,0,0,1,2,POINT (653325.8587161785 238357.17650796438),jármű-jármű,"[' Orczy tér', ' Orczy Fórum Városközpont']"
2014-05-10,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,1,2,POINT (652674.36286374 239512.15057812067),jármű-jármű,Keleti pályaudvar  Kerepesi út
2014-05-13,2014,Budapest VIII. kerület,könnyű sérüléses,"Pályaelhagyás járművel egyenes úton, menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4922777777778,19.0699666666667,0,0,1,1,POINT (651697.0377354248 238704.54558293303),egy jármű,[' Rökk Szilárd utca']
2014-05-17,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4939972222222,19.0733388888889,0,0,2,2,POINT (651951.0777128373 238895.7802336168),jármű-jármű,"['25/A', ' Bérkocsis utca', ' Józsefváros']"
2014-05-17,2014,Budapest VIII. kerület,halálos,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,egyéb,47.4890805555556,19.0655027777778,1,0,0,2,POINT (651360.7559178048 238349.01145976156),gyalogos,[' Baross utca']
2014-05-22,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4856472222222,19.0852888888889,0,0,1,2,POINT (652851.9297210095 237967.82207736385),jármű-jármű,"['Bubi', ' Tömő utca']"
2014-05-22,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",kerékpáros nem adott elsőbbséget,47.4800083333333,19.0865722222222,0,0,1,2,POINT (652948.9471061957 237340.96537936313),jármű-jármű,Barkácsbolt  kulcsmásolás  Üllői út
2014-05-23,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4800083333333,19.0865722222222,0,0,1,2,POINT (652948.9471061957 237340.96537936313),gyalogos,Barkácsbolt  kulcsmásolás  Üllői út
2014-05-25,2014,Budapest VIII. kerület,könnyű sérüléses,Utasbalesetek,egyéb,kapaszkodás elmulasztása,47.4994694444444,19.0918305555556,0,0,1,1,POINT (653344.0625219105 239504.7625912432),utasbaleset,Arena Mall bevásárlóközpont  Kerepesi út
2014-05-26,2014,Budapest VIII. kerület,könnyű sérüléses,Pályaelhagyás járművel útkereszteződésben a menetirány szerinti BAL oldalon,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4893805555556,19.0869555555556,0,0,3,1,POINT (652977.3267369851 238382.93591971722),egy jármű, Kálvária tér
2014-05-30,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba","a balra kanyarodó jármű vezetője nem  győződött meg meg a balra kanyarodás előtt, hogy előzését más jármű megkezdte-e",47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű,Blaha Lujza tér  Rákóczi út
2014-06-01,2014,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,zavaró magatartás az úttesten való áthaladás közben,47.4944777777778,19.0608527777778,0,0,1,2,POINT (651010.2580683264 238948.9832211532),gyalogos,"['Nemzeti Színház', ' 1-3', ' Rákóczi út']"
2014-06-02,2014,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,egyéb,47.4894444444444,19.0707277777778,0,1,0,2,POINT (651754.4775388279 238389.56526995104),gyalogos,Baross utca
2014-06-04,2014,Budapest VIII. kerület,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4861666666667,19.0928583333333,0,0,1,2,POINT (653422.3340477982 238025.8668701213),jármű-jármű,[' Orczy út']
2014-06-09,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4886305555556,19.0969833333333,0,0,1,2,POINT (653733.0233600803 238299.97412559035),jármű-jármű,249-es épület  23  Kőbányai út
2014-06-10,2014,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4926083333333,19.0832194444444,0,0,1,2,POINT (652695.6323536218 238741.65310965394),jármű-jármű,[' Szerdahelyi utca']
2014-06-11,2014,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben kijelölt gyalogos-átkelőhelyen, egy másik (álló) jármű mellett elhaladó járművel",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4897694444444,19.1087305555556,0,0,1,2,POINT (654618.1523910619 238427.20496334793),gyalogos,Hidegkuti Nándor Stadion  Hungária körút
2014-06-12,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4845972222222,19.0735138888889,0,0,1,2,POINT (651964.5971403251 237850.73838981436),jármű-jármű,[' Üllői út']
2014-06-15,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb szembe haladó járművek ütközése,sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4820861111111,19.1036138888889,0,0,1,3,POINT (654233.189435376 237572.7263863358),jármű-jármű,"['Penny Market E-töltő oszlop', ' Könyves Kálmán körút']"
2014-06-17,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyenes úton szembe haladó járművek ütközése, az egyik résztvevő előz  vagy forgalmi sávot vált","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4895166666667,19.1087388888889,0,0,1,2,POINT (654618.8019779043 238399.102853701),jármű-jármű,"['Hidegkuti Nándor Stadion', ' Hungária körút']"
2014-06-17,2014,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4941083333333,19.0602666666667,0,0,1,2,POINT (650966.10194674 238907.9033649288),jármű-jármű,['Múzeum körút']
2014-06-18,2014,Budapest VIII. kerület,súlyos sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4872138888889,19.0910555555556,0,1,1,2,POINT (653286.4138896242 238142.2164160835),gyalogos,"[' Kőris utca', ' Orczy Fórum Városközpont']"
2014-06-25,2014,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4896583333333,19.0730361111111,0,0,1,2,POINT (651928.4147772754 238413.39625701198),gyalogos,e-töltőpont  Baross utca
2014-06-30,2014,Budapest VIII. kerület,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4755805555556,19.0985194444444,0,0,2,2,POINT (653849.7059840893 236849.21490126138),jármű-jármű,"['Nemzeti Dohánybolt', ' Népliget aluljáró', ' Szent László Kórház']"
2014-07-01,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4996777777778,19.089,0,0,1,2,POINT (653130.7941433537 239527.80998269742),jármű-jármű,['Kerepesi út']
2014-07-02,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4911972222222,19.1087805555556,0,0,1,2,POINT (654621.7978535538 238585.9412290284),jármű-jármű,Hidegkuti Nándor Stadion  Hungária körút
2014-07-03,2014,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4998333333333,19.1061777777778,0,0,1,2,POINT (654424.9642388794 239545.91548983753),jármű-jármű, Százados út
2014-07-05,2014,Budapest VIII. kerület,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4995666666667,19.1030055555556,0,0,1,2,POINT (654185.9887045618 239516.09742969595),jármű-jármű,['Kerepesi út']
2014-07-07,2014,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4883944444444,19.0988305555556,0,0,1,2,POINT (653872.2399620828 238273.81231260317),jármű-jármű,"['225-ös épület', ' Kőbányai út']"
2014-07-11,2014,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4952138888889,19.0809055555556,0,0,1,3,POINT (652521.1596416968 239031.25170331408),jármű-jármű,[' Kun utca']
2014-07-15,2014,Budapest VIII. kerület,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4806361111111,19.0941555555556,0,1,0,2,POINT (653520.450945669 237411.06403040694),jármű-jármű,[' Elnök utca']
