Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2012-01-30,2012,Budapest VIII. kerület,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4995361111111,19.0820944444444,0,1,0,2,POINT (652610.5326528017 239511.81403909333),gyalogos,[' Baross tér']
2012-01-30,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4882222222222,19.1005722222222,0,0,4,2,POINT (654003.4987368722 238254.75134594573),gyalogos,239-es épület  27  Kőbányai út
2012-02-04,2012,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4998333333333,19.1061777777778,0,0,1,2,POINT (654424.9642388794 239545.91548983753),jármű-jármű,[' Százados út']
2012-02-05,2012,Budapest VIII. kerület,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.48208333333329,19.1038027777778,0,0,1,2,POINT (654247.4253680382 237572.42760882215),jármű-jármű,"['Vajda Péter utca', ' Tisztviselőtelep']"
2012-02-05,2012,Budapest VIII. kerület,könnyű sérüléses,Egyéb szembe haladó járművek ütközése,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4996305555556,19.0829194444444,0,0,1,1,POINT (652672.6841473966 239522.34092304917),jármű-jármű,['Kerepesi út']
2012-02-09,2012,Budapest VIII. kerület,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4962444444444,19.0704333333333,0,1,0,2,POINT (651732.0782501437 239145.55053422853),gyalogos,0809 - Blaha Lujza tér M (2062)  Blaha Lujza tér
2012-02-17,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tiltott helyen való áthaladás,47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),gyalogos,[' Baross utca']
2012-02-19,2012,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.49953888888889,19.0829416666667,0,0,2,2,POINT (652674.36286374 239512.15057812067),jármű-jármű,"['Keleti pályaudvar', ' Kerepesi út']"
2012-02-19,2012,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tilos jelzésen való áthaladás,47.4755861111111,19.0986305555556,0,0,1,2,POINT (653858.0805668101 236849.8378957737),gyalogos,"['Nemzeti Dohánybolt', ' Népliget aluljáró', ' Szent László Kórház']"
2012-02-21,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4927416666667,19.0710083333333,0,0,1,1,POINT (651775.5136283527 238756.1405311049),gyalogos,Rákóczi tér M  József körút
2012-02-22,2012,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4755861111111,19.0986305555556,0,0,1,2,POINT (653858.0805668101 236849.8378957737),jármű-jármű,Nemzeti Dohánybolt  Népliget aluljáró  Szent László Kórház
2012-02-23,2012,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4961944444444,19.0709138888889,0,0,1,2,POINT (651768.287500613 239140.00200394806),gyalogos,"[""McDonald's"", ' 8', ' József körút', ' Józsefváros']"
2012-02-24,2012,Budapest VIII. kerület,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.48,19.0865805555556,0,0,1,2,POINT (652949.5756276142 237340.0392279295),jármű-jármű,"['Barkácsbolt', ' kulcsmásolás', ' Üllői út']"
2012-02-26,2012,Budapest VIII. kerület,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,egyéb,47.4935555555556,19.0824138888889,0,0,1,1,POINT (652634.8876763324 238846.93416104763),jármű-jármű,['Népszínház utca']
2012-02-27,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4908888888889,19.084525,0,0,1,2,POINT (652794.0946564808 238550.5379874023),jármű-jármű,[' Magdolna utca']
